image_name,english_caption,yoruba_caption
3641456303_c50c33337b.jpg,Two women pose back-to-back in front of a high-rise building.,Àwọn obìnrin méjì dúró léyìn ara wọn níwájú ilé gíga.
1984936420_3f3102132b.jpg,a boy caches a fish while a girl points at the fish.,Ọmọkùnrin kan mú ẹja nígbà tí ọmọbìnrin ń tọka sí ẹja náà.
2273591668_069dcb4641.jpg,Two brown dogs running through a field with a red toy.,Àwọn ajá búráwùn méjì ń sare ní pápákò pẹ̀lú ohun eré pupa.
3515904775_f8acc5909e.jpg,A black and white dog carrying an orange ball coming out of the water.,Ajá dúdú-funfun kan tó mú bọ́ọ̀lù aláwọ̀ omi-ọsàn ń bọ láti inú omi.
3222055946_45f7293bb2.jpg,"At a women 's basketball game , a white skinned woman dribbles against the Chicago defense.","Ní eré àfọwọ́wọ́gbá-sáwọ̀n t’obìnrin kan, obìnrin aláwọ̀-fùnfún kan ń gé awọ̀n àgbẹ́yìn Chicago."
3185695861_86152b2755.jpg,A dog stands in a field with a tennis ball in his mouth.,Ajá kan dúró ní pápákò pẹ̀lú bọọlu tennis ní ẹnu rẹ̀.
290650302_ade636da35.jpg,A woman in red wears glasses and long earrings.,Obìnrin nínù aṣọ pupa tó wọ gíláàsì pẹ̀lú yerí etí gígùn.
3426962078_13e87e10de.jpg,A woman hugging a man at a formal occassion.,Obìnrin kan n dì mọ́ ọkùnrin kan ní ayẹyẹ.
3482879314_d3387e95b1.jpg,The boys are watching a bicycle stunt.,Àwọn ọmọkùnrin ń wo ifí kẹ̀kẹ́ dárà.
2396025708_e4a72e2558.jpg,A windsurfer in the waves of the ocean.,Olùgòkè afẹ́fẹ̀ kan wà lórí ìgbín omi òkun.
3116769029_f5a76f04ba.jpg,A boy throws red and orange leaves into the air.,Ọmọkùnrin kan ń dá ewé aláwọ̀ pupa àti omi-ọsàn sókè.
3432730942_4dc4685277.jpg,Two men getting ready to take a motorcycle ride.,Ọkùnrin méjì ń mura láti gùn ọkọ̀.
2358554995_54ed3baa83.jpg,Child getting ready to go down a slide.,Ọmọ kan ń mura láti lọ sílẹ̀
1472249944_d887c3aeda.jpg,Many people are walking through a park with a lot of trees.,Ọ̀pọ̀ ènìyàn ń rìn ní ọgbà tó ni igi púpọ̀.
535249787_0fcaa613a0.jpg,A child hits a baseball.,Ọmọ kan gbá bọọlu afigigbá.
835415474_7b7f2a9768.jpg,A child is hanging upside down from an adults shoulders.,Ọmọdé kan n dorí kodò léjìká àgbàlagbà kan.
404702274_fa8b3fe378.jpg,Dog jumping to catch falling snow out in the woods.,Aja kan ń fò sókè láti mú yinyin tó ń bọ́ nínú igbó.
2877088081_7ca408cb25.jpg,A teenager performing a trick on a stairway in public.,Ọ̀dọ́mọdé kan ń ṣe dárà kan lórí pẹtẹẹsì ní gbangba.
2473791980_805c819bd4.jpg,A man is kite surfing away from the camera.,Ọkùnrin kan n fi nǹkan ṣeré kúrò níbi ti kámẹ́rà wà.
2685752892_9d5cd7f274.jpg,The guy on his bike does a jump near a water fountain.,Ọkùnrin kan tó wa lórí kẹ̀kẹ́ rẹ̀ ń fò lẹ́gbẹ̀ẹ́ omi.
3338474677_7376e426c2.jpg,A bald man riding bike through a city.,"Ọkùnrin apárí kan, ń gùn kẹ̀kẹ́ láàrin ìlú."
3146630574_05d9ebbed1.jpg,A dog is running along a beach with a red object in its mouth.,Aja kan ń sáré lẹ́gbẹ̀ẹ́ etí òkun pẹ̀lú nǹkan pupa kan nínú ẹnu rẹ̀.
2255338013_566127590b.jpg,A man is abseiling down a cliff over the ocean.,Ọkùnrin kan ń sọ̀kalẹ̀ láti apáta gíga lórí òkun pẹ̀lú okùn.
256292144_b53aadae27.jpg,A brown and white dog is running across the grass.,Ajá aláwọ̀ búráwùn àti funfun kan ń sáré lórí koríko.
3308488725_f91d9aba27.jpg,A boy in blue jeans runs on the track at the local school.,Ọmọkùnrin kan tó wọ sokoto jíinì búlùu ń sáré lórí pápá-eré ti ilé-ẹ̀kọ́.
989754491_7e53fb4586.jpg,A girl in green goggles in a pool with three other children.,Ọmọbìnrin kan tó wọ ìgò aláwọ̀ ewe wà nínú adágún-omi pẹ̀lú àwọn ọmọ mẹ́ta míràn.
2298283771_fb21a4217e.jpg,A man wearing glasses and a dark coat looks at something to the left of the picture.,Ọkùnrin kan tó wọ gíláàsì àti àṣọ dúdú ń wo nǹkan kan lọ sí apá òsì àwòrán.
464527562_a18f095225.jpg,This is a dog holding a Frisbee.,"Eyi ni aja kan tó ń dì ""Frisbee"" mú."
2382411771_a16145f345.jpg,A dog is on top of someone in the grass.,Aja dúró sí orí ẹnìkan nínú koríko.
3240090389_97a8c5d386.jpg,A person riding a skateboard.,Eniyan kan ń gùn skateboard
3447155358_5b5b59b15e.jpg,A little girl in a red dress and cape holds a large tennis racquet.,Ọmọbìnrin kékeré kan tó wọ aṣọ pupa àti kéèbù ń dì ráketì tẹnísì ńlá kan mú.
3649384501_f1e06c58c0.jpg,The guard is wearing a helmet with a red tassel.,Olùṣọ́ kan ń wọ ibòrí pẹ̀lú ìṣọ́ irun pupa.
3308997740_91765ecdcc.jpg,A young woman in a knit cap smiles next to a sign for pizza.,Ọ̀dọ́mọbìnrin kan tó wọ fìlà aṣọ ń rẹ́rìn-ín lẹ́gbẹ̀ẹ́ àmi písà kan.
3119875880_22f9129a1c.jpg,A man watches two small boys playing in a naturally formed rock.,Ọkùnrin kan ń wo àwọn ọmọkùnrin kékeré méjì tọ́ ń ṣeré nínú ápáta kan tí wọ́n mọ
3070485870_eab1a75c6f.jpg,Snowboarder does stunt on his board in the snow.,Ọkùnrin kan ń dárà lórí nǹkan ṣeré rẹ̀ nínú yinyin.
2845845721_d0bc113ff7.jpg,A woman stands in a field with her hands on her hips while a man runs up behind her.,"Obìnrin kan dúró lórí pápá pẹ̀lú ọwọ́ rẹ̀ lórí ikébè ìdí, nígbà tí ọkùnrin kan ń sáré wá láti ẹ̀yìn rẹ̀."
3049770416_0fb1954315.jpg,A man with a microphone.,Ọkùnrin kan pẹ̀lú gbohùngbohùn.
215876547_fa584c5ec3.jpg,A man sitting in a rowboat.,Ọkùnrin kan jókòó nínú ọkọ̀ ojú-omi kékeré.
155221027_b23a4331b7.jpg,Two men with parachutes have just landed in a field.,Ọkùnrin méjì pẹ̀lú nǹkan tó má n gbé wọn fò ṣẹ̀sẹ̀ sọ́kalẹ̀ sínú pápá kan.
2659554389_ed3d15093f.jpg,A young girl feeding a camel.,Ọ̀dọ́mọbìnrin kan ń fún ràkúnmí ní oúnjẹ.
2303951441_3c8080907a.jpg,Two black dogs.,Àwọn ajá dúdú méjì.
3125158798_0743dae56e.jpg,The warmly dressed man and woman stand together outside.,Ọkùnrin àti obìnrin kan tí wọ́n wọ aṣọ tó dára dúró papọ̀ níta.
293151893_ee7249eccb.jpg,Two dogs running on land along the water.,Àwọn ajá méjì ń sáré lórí ilẹ̀ lẹ́gbẹ̀ẹ́ omi.
3027397797_4f1d305ced.jpg,A barefoot and shirtless skateboarder rides along a road.,Awa skateboard kan tí kò wọ bàtà tàbí aṣọ kòlápá ń gùn ùn lórí ọ̀nà.
1052358063_eae6744153.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches.,"Ọmọkùnrin kan ń fò sókè lórí skateboard rẹ̀, nígbà tí ọmọkùnrin míràn pẹ̀lú skateboard ń wo ọ."
3337332770_5eda5cceb7.jpg,Two dogs wrestle in the snow in a fenced-in area.,Àwọn ajá méjì ń jà nínú yinyin ní agbègbè tí wọ́n fẹ́ǹsì.
2114739371_83aa8bdb0e.jpg,A brown and black dog leaps through the freshly mown grass.,Ajá aláwọ̀ búráwùn àti dúdú kan ń fò kọjá lórí koríko tí a ṣẹ̀ṣẹ̀ gé.
3627290893_561e176e80.jpg,A group of people play instruments and sing.,"Àwọn ọ̀pọ̀ ènìyàn kan ń kọrin, wọ́n sì ń lu ìlù ati nǹkan míìràn."
3553476195_fb3747d7c1.jpg,Two black dogs are fighting over a toy.,Àwọn aja dúdú méjì ń jà lórí ohun nǹkab ìṣeré kan.
2264316030_600e55748d.jpg,A dog with its tongue out walking in the snow.,Ajá kan tí ahọ́n rẹ̀ wà níta ń rìn nínú yìnyín.
3688005475_d200165cf7.jpg,a young boy diving through the water with his eyes open.,Ọmọkùnrin kékeré kan ń rì lọ sínú omi pẹ̀lú tí o sì ṣí ojú rẹ̀ lẹ́.
2913207978_9e9624e249.jpg,An Asian woman holding a fan watches traffic go by.,Obìnrin Ásíà kan tí ń dì abẹ̀bẹ̀ ọwọ́ ń wo àwọn ọkọ̀ tó ń kọjá.
2321466753_5606a10721.jpg,A toddler grasping a wooden object.,Ọmọ kékeré kan ń di ohun igi kan mú.
2079110798_ad1370a646.jpg,"A boy sits in the library , reading a book.","Ọmọkùnrin kan jókòó nínú yàrá ìkàwé, ó sì ń ka ìwé."
491564019_1ca68d16c1.jpg,A young girl with a yellow shirt looking at yellow something.,Ọ̀dọ́mọbìnrin kan tó wọ aṣọ aláwọ̀ èsúúrú ń wo nǹkan aláwọ̀ èsúúrú
3289893683_d4cc3ce208.jpg,Two basketball players struggle for the ball.,Àwọn agbábọ́ọ̀lu aláwọ̀n méjì ń tiraka fún bọ́ọ̀lù.
1301140633_046e4e8010.jpg,A boy with a dirty face smiles.,Ọmọkùnrin kan tó ní ìdọ̀tí lójú ń rẹ́rìn-ín.
2934801096_230ae78d7e.jpg,"A man and a boy standing in front of a sign that says "" HELL "".",Ọkùnrin kan àti ọmọkùnrin kan dúró níwájú àmi kan tí o sọ “HELL”.
2598012140_832863fcb9.jpg,A white dog in a red collar biting an orange tabby cat on a bed.,Aja funfun kan tó wọ kọ́là pupa ń gé olóńgbò aláwọ̀ omi-ọsàn kan jẹ lórí ibùsùn.
3355683198_715fb1a2ac.jpg,A boy in a tie dyed shirt is riding a skateboard down.,Ọmọkùnrin kan tó wọ aṣọ tí a pa lárò ń gùn skateboard sọ́kalẹ̀ bọ.
3655155990_b0e201dd3c.jpg,Two white dogs are splashing around in white waves.,Àwọn aja funfun méjì ń fọ́n omi kiri nínú igbi omi funfun.
1489286545_8df476fa26.jpg,A man sits on a bench holding his dog and looking at the water.,"Ọkùnrin kan jókòó lórí ibùjókòó, ó dì aja rẹ̀ mú, ó sì ń wo omi."
2396669903_5217a83641.jpg,A man dressed in a brown coat and hat is carrying shopping bags and walking towards an intersection.,"Ọkùnrin kan tó wọ àṣọ búráwùn àti fìlà ń rú àpò ìtajà, ó sì ń rìn sí ibi tí ọ̀nà pàdé."
2746839158_4195210d27.jpg,Two boys in underwear play in the water in the city street.,Àwọn ọmọkùnrin méjì tí wọ́n wọ aṣọ àwọ̀sabé ń ṣeré nínú omi láárin ọ̀nà ìlú.
3160531982_37f5636b8a.jpg,A person paraglides at sundown.,Eniyan kan ń fò pẹ̀lú ìgbénifò ní àkókò ìrọ̀lẹ́.
382701159_f98c1988cd.jpg,a man fishes in the ocean.,Ọkùnrin kan ń pẹja nínú òkun.
502884177_25939ac000.jpg,Closeup of an elderly woman walking across a street with a male.,Àwòrán tó sunmọ́ àgbàlagbà obìnrin kan tí ń rìn kọjá lórí òpópónà pẹ̀lú ọkùnrin kan.
3361990489_92244a58ef.jpg,The young girl is standing in a tree.,Ọ̀dọ́mọbìnrin kan dúró lórí igi.
2409312675_7755a7b816.jpg,A four wheel drive car is driving through the mud.,Ọkọ̀ ayọ́kẹ́lẹ́ ẹlẹ́sẹ̀-mẹ́rin kan ń rìn nínú ẹrẹ̀.
2384626662_67cdd87694.jpg,A boy in an orange shirt and red hat is standing next to a girl with a white shirt and blue pants in the sand next to the ocean.,Ọmọkùnrin kan tó wọ aṣọ aláwọ̀ omi ọsàn àti fìlà pupa dúró lẹ́gbẹ̀ẹ́ ọmọbìnrin kan tó wọ aṣọ funfun àti sokoto búlù lórí iyanrìn lẹ́gbẹ̀ẹ́ etí òkun.
2327088022_478dbd2c17.jpg,A man donning an orange helmet is climbing up a white glacier.,Ọkùnrin kan tó wọ ibòrí aláwọ̀ omi-ọsàn ń gun yìnyín-tó-dìpọ̀ funfun.
2261550615_b6c25d987b.jpg,A man in a cowboy hat walks in a department store.,Ọkùnrin kan tó wọ fila akẹtẹ ń rìn nínú ilé-itaja ńlá kan.
2551632823_0cb7dd779b.jpg,"A man eating an apple , sitting in public.","Ọkùnrin kan jókòó ní gbangba, ó sì ń jẹ èso."
186890605_ddff5b694e.jpg,A person uses a rope swing over the water.,Eniyan kan ń lo okùn fífì lórí omi.
444481722_690d0cadcf.jpg,"Two women , one carrying a purse and papers , are standing on a sidewalk.","Àwọn obìnrin méjì dúró lórí pẹtẹẹsì opópónà, ọ̀kan sì ń mú àpò ifowópamọ́ àti àwọn ìwé."
442918418_0f29c97fa9.jpg,The white dog is jumping over a fallen tree.,Ajá funfun kan ń fò kọjá igi tí ó ṣubú.
2917843040_7c9caaaa8a.jpg,A person jumps outside.,Ènìyàn kan ń fò sókè níta.
2774554310_007e980a90.jpg,The woman wearing pink pants has a tattoo of a butterfly on her back.,Obìnrin kan tó wọ sokoto pínkì ní àwòrán tàtúù labalábá ní ẹ̀yìn rẹ̀.
2196107384_361d73a170.jpg,a old man walks down the uncrowded road.,Agbàlagbà okùnrin kan ń rìn lọ́na to pa lọ́lọ́.
2583001715_1ce6f58942.jpg,A small dog jumping up to meet a yellow soccer ball.,Ajá kékeré kan ń fò sókè láti dé ibi tí bọ́ọ̀lù ẹsẹ̀ aláwọ̀ èsúrú kan wà.
2667549961_57e5e2c0a5.jpg,A baby on a wood floor with a water bottle.,Ọmọ kékeré kan lórí ilẹ̀ onígi pẹ̀lú ike omi kan.
3336065481_2c21e622c8.jpg,Little girl sliding down an orange playground slide.,Ọmọbìnrin kékeré kan ń yọ̀ sọ́kalẹ̀ lórí ìyọ̀ ibi-èrè aláwo omi-ọsan.
557721978_dfde31bc02.jpg,A girl jumping in a puddle.,Ọmọbìnrin kan ń fò sínú adágún omi kékeré.
502671104_b2114246c7.jpg,a girl wearing red submerges from the water.,Ọmọbìnrin kan tó wọ aṣọ pupa ń yọ jáde láti inú omi.
2426303900_0a8d52eb14.jpg,two young children under a blue and yellow umbrella.,Àwọn ọmọ kékeré méjì wà lábẹ́ agba-òjò aláwọ̀ búlù àti èsúrú.
1129704496_4a61441f2c.jpg,Two dogs run through the water with a rope in their mouths.,Àwọn aja méjì ń sáré kọjá omi pẹ̀lú okùn nínú ẹnu wọn.
1770036088_08abe4f6e9.jpg,A man and a girl in bed.,Ọkùnrin kan àti ọmọbìnrin kan wà lórí ibùsùn.
1685990174_09c4fb7df8.jpg,A group of children in a field.,Àwọn ọ̀pọ̀ ọmọde wà ní pápá.
3431671749_e8e3a449ac.jpg,A race car on a track has flames shooting from the rear.,Ọkọ̀ ìdíje kan lórí pápá eré ń tú iná jáde láti ẹ̀yìn rẹ̀.
2356664078_4b1e6e465d.jpg,Three dogs running in a field.,"Àwọn aja mẹ́ta ń sáré lórí pápá.
"
3199645963_a681fe04f8.jpg,A man and a woman sit in lawn chairs and laugh.,"Ọkùnrin kan àti obìnrin kan jókòó lórí ijóko tinú ọgbà, wọ́n sì ń rẹ́rìn-ín."
458004873_f084c47a88.jpg,A person sitting on bench and man in green shirt standing on black and grey floor.,"Eniyan kan jókòó lórí ibùjókòó, ọkùnrin kan sì tó wọ aṣọ aláwọ̀ ewe dúró lórí ilẹ̀ aláwò dúdú àti érú."
2983555530_a89f1f5ed7.jpg,American footballers in yellow outfits are playing in a very muddy field.,Àwọn agbábọ́ọ̀lu ti ilẹ̀ Amẹ́ríkà nínú aṣọ aláwò érú ń gbá bóòlù lórí pápá tí ó kún fún ẹrẹ̀ gidi gan.
2414390475_28a0107bb0.jpg,A guy with long brown curly hair wearing a white t-shirt is looking into the camera with something in his mouth.,"Ọkùnrin kan tí ó ní irun gígùn tí ó lọ́ aláwọ̀ búráwùn, tó sì wọ aṣọ funfun ń wo kámẹ́rà pẹ̀lú nǹkan kan nínú ẹnu rẹ̀."
1397295388_8a5b6b525d.jpg,An overhead shot of people gathered in a casino.,Àwòrán láti òkè ti àwọn ènìyàn tí wọ́n kóra jọ nínú ilé tẹ́tẹ́ kan.
1501811302_5e723fc529.jpg,a black sheep dog is chasing a grey sheep around a pen.,Aja dúdú kan ń lé agutan aláwò érú kan káàkiri ọgbà.
3006095077_1992b677f8.jpg,Two men wearing hats stand together and smile.,"Ọkùnrin méjì tí wọ́n wọ fìlà dúró pọ̀, wọ́n sì ń rẹ́rìn-ín."
3623302162_099f983d58.jpg,White dog running in fenced in grassy area.,Ajá funfun kan ń sáré nínú agbègbè koríko tí inú ọgbà.
3554634863_5f6f616639.jpg,The man in the yellow suit stands near musical instruments and a crowd.,Ọkùnrin kan nínú aṣọ aláwọ̀ èsúrú dúró lẹ́gbẹ̀ẹ́ àwọn ohun ìkọrin àti àwọn ero.
1813597483_3f09d2a020.jpg,Black dog climbs over fallen logs or boards.,Aja dúdú kan ń gùn igi tàbí pátákó tí ó ṣubú kọjá.
3328646934_5cca4cebce.jpg,A blond boy slides down a sand dune on a skateboard with no wheels.,Ọmọkùnrin kan tí irun rẹ̀ jọ funfun ń yọ̀ sọ́kalẹ̀ lórí òkè iyanrìn pẹ̀lú skateboard tí kò ní kẹ̀kẹ́.
397547349_1fd14b95af.jpg,A man walking a small white and a big white dog.,Ọkùnrin kan ń rìn pẹ̀lú aja funfun kékeré kan àti aja funfun ńlá kan.
3760400645_3ba51d27f9.jpg,A girl holds a bouquet of flowers.,Ọmọbìnrin kan ń dì ìkànsí odòdó kan mú.
2762301555_48a0d0aa24.jpg,A wet child shivers under a towel at a pool.,Ọmọde kan to n ro n gbọ̀n labẹ́ aṣọ ìnura lẹ́gbẹ̀ẹ́ adágún omi.
1389651420_8d95d8f6ed.jpg,A boy stands beside a railing at a go kart track.,Ọmọkùnrin kan dúró lẹ́gbẹ̀ẹ́ irin  lórí ọ̀nà go-kart.
3282634762_2650d0088a.jpg,The white swan is taking off from the water.,Ẹyẹ omi funfun kan ń fò jáde láti inú omi.
241345844_69e1c22464.jpg,The coach talks it over with his quarterback during a timeout.,Olùkọ́ni kan ń bá ọmọlẹ́yin rẹ̀ sọ̀rọ̀ nígbà ìsinmi eré.
1287931016_fb015e2e10.jpg,Two dogs standing in the snow.,Àwọn ajá méjì dúró nínú yinyin.
2432709509_2a4d0c833f.jpg,A child is sitting on the grass by a concrete storm drain.,Ọmọde kan jókòó lórí koríko lẹ́gbẹ̀ẹ́ ìṣàn omi simẹnti kan.
2108799322_e25aa6e185.jpg,A black dog runs through a muddy bank.,Aja dúdú kan ń sáré kọjá lágbègbè tí kún fún ẹrẹ̀.
3227111573_c82f7d68b1.jpg,Three men standing on a cliff.,Ọkùnrin mẹ́ta dúró lórí òkè gíga.
2187503678_fd743e0a00.jpg,The white dog is running on the grass near a small house.,Aja funfun kan ń sáré lórí koríko lẹ́gbẹ̀ẹ́ ilé kékeré kan.
2980348138_91cc6f6d0f.jpg,A rock climber climbs.,Agàpáta kan ń gùn àpáta.
3656906086_7034f69ab6.jpg,A dog bites another dog 's neck.,Aja kan ń gé aja míràn lọ́rùn jẹ.
3181328245_7c04ce1691.jpg,Two children sit inside a play area.,Àwọn ọmọdé méjì jókòó nínú agbègbè ìṣeré.
3342855466_44038a8aa3.jpg,A boy on a bike does a stunt on a ramp filled with graffiti.,Ọmọkùnrin kan lórí kẹ̀kẹ́ ń dárà lórí ara ilé tí ó kún fún ìyàkuyà.
3767841911_6678052eb6.jpg,"On wet grass , little blond girl in orange dress plays in sprinkler.","Lórí koríko tí omi rẹ, ọmọbìnrin kékeré kan tí irun rẹ̀ jọ funfun tó wọ aṣọ aláwò omi-ọsan ń ṣeré nínú ìfọ̀ omi."
3595080592_5fd55570e5.jpg,Two asian children standing on cement.,Àwọn ọmọ Ásíà méjì dúró lórí ilẹ̀ símẹ́ntì.
2951750234_a4741f708b.jpg,A jockey on a black horse jumps over a hurdle.,Afẹsindárà kan lórí ẹṣin dúdú ń fò kọjá ìdènà kan.
3006093003_c211737232.jpg,A man talking on a cellphone is holding a blue banner.,Ọkùnrin kan tó ń sọ̀rọ̀ lórí fóònù alágbèéká ń dì bánà búlù kan mú.
2444821454_22a346c996.jpg,a black and white dog jumping in the grass after a Frisbee.,Aja dúdú àti funfun kan ń fò nínú koríko lẹ́yìn Frisbee kan.
2939197393_93dc64c4bb.jpg,The guy on the BMX bike is taking a sharp turn.,Ọkùnrin kan lórí kẹ̀kẹ́ BMX ń yi padà lọ́na tó mú ọgbọ́n dání.
3397310901_cbef5c06ef.jpg,Person doing tricks on a bicycle in a skatepark.,Eniyan kan ń dárà lórí kẹ̀kẹ́ lórí pápá.
3638374272_444f5e0457.jpg,A group of people gather on a gravel road near a car.,Ìjọ ènìyàn kan kóra jọ lórí ọ̀nà olókúta lẹ́gbẹ̀ẹ́ ọkọ̀ ayọ́kẹ́lẹ́ kan.
2629294578_853a08bb43.jpg,A dog is fetching a tennis ball in a patch of green grass.,Aja kan ń mú bọ́ọ̀lù tẹ́nisi kan wá nínú koríko aláwọ̀ ewe.
3258394043_a0b6a94dce.jpg,A group of adults and children doing some activity on a sidewalk outside.,Ìjọ àgbàlagbà àti àwọn ọmọde ń ṣe ikónijọ kan lórí pẹtẹẹsì opópónà níta.
1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field.,Aja funfun kan ń gbìyànjú láti mú bọ́ọ̀lù kan lórí afẹ́fẹ́ lórí pápá koríko.
2774581025_81a3074e2e.jpg,Boy in yellow tank top laughing on a beach.,Ọmọkùnrin kan tó wọ aṣọ kòlápá olómi ọsàn ń rẹ́rìn-ín létí òkun.
2971298546_dd595cf297.jpg,A human figure runs past a flower stand.,Eniyan kan ń sáré kọjá ibi tí wọn ti ń ta òdòdó.
3357708906_fb3a54dd78.jpg,Dogs and their masters gather on a dirt trail.,Àwọn ajá àti àwọn oníwun wọn kóra jọ lórí ọ̀nà elérùpẹ̀.
